ano,sigla_uf,id_municipio,familia_ocupacional_cbo,quantidade_profissionais,soma_carga_horaria_ambulatorial
2023,SP,3549003,7824,7,0
2023,SP,3522505,5135,33,0
2023,SP,3531605,7832,1,0
2023,SP,3520103,2410,1,0
2023,SP,3547809,2522,12,0
2021,SP,3506102,3252,1,0
2021,SP,3520400,5121,2,0
2021,SP,3513504,3252,2,80
2021,SP,3503307,9153,3,0
2021,SP,3551702,8414,1,0
2022,SP,3509502,3252,26,55
2022,SP,3506003,2613,2,0
2022,SP,3548708,4102,28,0
2022,SP,3552403,2149,1,0
2022,SP,3509502,2141,8,0
2022,SP,3526902,9922,7,0
2022,SP,3543402,3542,3,0
2024,SP,3550605,5191,1,0
2024,SP,3550308,5141,145,0
2024,SP,3548708,2543,137,0
2024,SP,3518701,3341,1,0
2024,SP,3548500,8181,6,0
2024,SP,3548500,9513,12,0
2021,SP,3527306,2141,1,0
2021,SP,3518404,3911,10,0
2021,SP,3509205,3221,1,0
2023,SP,3550308,3542,146,0
2022,SP,3522604,5135,46,0
2022,SP,3523206,5135,7,0
2022,SP,3501608,3111,10,0
2022,SP,3518800,5153,19,500
2022,SP,3555406,8601,1,0
2022,SP,3527207,1414,9,0
2022,SP,3548500,2124,21,0
2024,SP,3508603,2123,1,0
2024,SP,3539301,2523,2,0
2024,SP,3503307,1311,1,0
2024,SP,3509502,3221,9,57
2024,SP,3538709,1423,7,0
2024,SP,3550308,3951,118,0
2022,SP,3550308,3517,8,0
2022,SP,3506508,7166,1,0
2024,SP,3538709,3011,5,0
2022,SP,3549904,2142,7,0
2021,SP,3505500,2123,10,0
2022,SP,3544004,2523,1,0
2024,SP,3515186,5153,50,0
2024,SP,3522505,7152,4,0
2024,SP,3506508,7156,1,0
2024,SP,3518701,3911,3,0
2024,SP,3552205,3911,72,0
2022,SP,3505500,2123,5,0
2024,SP,3543303,5121,71,0
2024,SP,3549805,4223,14,0
2024,SP,3554102,8181,18,0
2024,SP,3555802,2142,1,0
2024,SP,3502101,2523,1,0
2024,SP,3550308,4151,21,0
2024,SP,3548500,5199,2,0
2022,SP,3529401,3542,2,0
2022,SP,3515186,5141,5,0
2024,SP,3524402,5135,19,0
2023,SP,3551702,1424,1,0
2024,SP,3507001,2141,1,0
2024,SP,3515103,2123,2,0
2024,SP,3550308,2526,8,0
2024,SP,3526704,3515,1,0
2024,SP,3557105,7911,1,0
2024,SP,3505906,2149,1,0
2024,SP,3503208,3911,3,0
2024,SP,3550308,9153,193,0
2024,SP,3527108,1232,1,0
2024,SP,3548500,2522,12,0
2023,SP,3526209,3911,2,0
2023,SP,3509601,7911,1,0
2023,SP,3526902,3252,7,96
2024,SP,3548500,5141,30,0
2023,SP,3509502,7244,3,0
2023,SP,3506003,8621,7,0
2024,SP,3530607,2312,2,0
2024,SP,3523206,4201,3,0
2024,SP,3550308,8621,23,0
2024,SP,3524402,7233,2,0
2024,SP,3509502,7321,1,0
2024,SP,3509205,2523,1,0
2024,SP,3506003,7241,8,0
2022,SP,3555604,3514,4,0
2022,SP,3550308,5121,77,0
2024,SP,3550308,2347,1,0
2024,SP,3508603,1210,1,0
2024,SP,3524402,3514,1,0
2024,SP,3516200,1424,2,0
2024,SP,3522802,2523,1,0
2024,SP,3527207,5191,26,0
2023,SP,3531001,5121,1,0
2023,SP,3549904,7156,4,0
2022,SP,3551504,3331,1,0
2022,SP,3547304,3311,2,0
2022,SP,3516200,5121,17,0
2022,SP,3526001,3511,1,0
2022,SP,3543907,3541,3,0
2022,SP,3524402,3912,2,0
2023,SP,3509502,3252,26,55
2023,SP,3501905,2142,1,0
2023,SP,3550308,7664,72,356
2023,SP,3552809,5131,123,0
2023,SP,3548500,5165,46,0
2024,SP,3516408,3513,1,0
2024,SP,3554102,3911,43,0
2024,SP,3524402,5191,2,0
2024,SP,3548500,2143,1,0
2024,SP,3530607,5173,19,0
2023,SP,3530607,4102,14,0
2023,SP,3535903,5172,1,0
2023,SP,3507506,2131,13,252
2023,SP,3523909,3542,2,0
2023,SP,3549904,5103,8,0
2023,SP,3534401,1425,14,0
2021,SP,3510302,5135,1,0
2021,SP,3543402,1425,2,0
2024,SP,3530607,4241,25,0
2022,SP,3525904,3322,1,0
2022,SP,3550308,3115,16,0
2022,SP,3518701,4132,18,0
2023,SP,3550308,7156,82,0
2023,SP,3525300,8621,2,0
2021,SP,3525300,3252,17,144
2024,SP,3506003,5135,75,0
2023,SP,3552205,5199,19,0
2023,SP,3543907,3141,4,0
2023,SP,3549102,4201,1,0
2023,SP,3548500,5135,57,0
2023,SP,3511102,2612,3,0
2023,SP,3513504,5121,1,0
2023,SP,3538709,3131,2,0
2023,SP,3542602,7152,2,0
2024,SP,3549805,2392,3,80
2024,SP,3526902,5101,6,0
2024,SP,3548500,7166,30,0
2024,SP,3515103,2514,1,0
2022,SP,3525904,4223,186,0
2022,SP,3551702,7152,6,0
2022,SP,3508702,2410,1,0
2021,SP,3557006,7832,1,0
2021,SP,3530201,2321,1,0
2024,SP,3550308,2149,69,147
2024,SP,3539301,7824,2,0
2023,SP,3506003,2142,7,0
2023,SP,3509502,3172,27,0
2023,SP,3503406,3513,8,0
2023,SP,3538709,7664,6,0
2023,SP,3541406,5173,16,0
2023,SP,3548708,3252,34,380
2023,SP,3549102,1422,2,0
2022,SP,3529401,2611,1,0
2023,SP,3529401,9153,2,0
2024,SP,3506003,2344,21,0
2024,SP,3527108,2525,1,0
2024,SP,3525201,5135,1,0
2023,SP,3512209,1422,1,0
2023,SP,3525300,4241,1,0
2023,SP,3538709,2131,4,97
2022,SP,3515004,2545,1,0
2024,SP,3526902,4211,22,0
2023,SP,3530300,2149,3,20
2023,SP,3550308,3547,2,0
2024,SP,3549904,3171,6,0
2024,SP,3510500,3171,1,0
2023,SP,3507605,5173,4,0
2024,SP,3533403,2392,10,188
2024,SP,3515152,1114,1,0
2024,SP,3509502,3121,4,0
2024,SP,3541406,7152,12,0
2021,SP,3550308,2143,37,0
2021,SP,3522901,1311,1,0
2024,SP,3550902,1114,1,0
2024,SP,3550308,2112,8,1
2021,SP,3528502,3172,3,0
2021,SP,3544905,5121,1,0
2022,SP,3524402,3542,10,0
2022,SP,3527207,5191,26,0
2022,SP,3549904,4223,12,0
2023,SP,3507506,2263,1,38
2023,SP,3522208,4122,3,0
2022,SP,3534757,4132,1,0
2024,SP,3525904,3513,37,0
2024,SP,3550308,2011,11,220
2024,SP,3522307,5121,12,0
2024,SP,3518800,5121,2,0
2023,SP,3548906,2392,42,0
2023,SP,3548500,3252,31,41
2022,SP,3515004,5153,12,380
2022,SP,3550308,7631,4,0
2022,SP,3509502,2312,2,0
2023,SP,3543303,3131,1,0
2023,SP,3548708,9501,1,0
2024,SP,3547809,7711,3,0
2024,SP,3538709,9511,8,0
2022,SP,3522505,7257,1,0
2022,SP,3506003,3252,19,488
2024,SP,3525904,3221,3,2
2022,SP,3502804,5199,1,0
2022,SP,3530607,7831,2,0
2022,SP,3541406,3513,12,0
2022,SP,3525904,5153,29,956
2022,SP,3549904,8233,1,0
2023,SP,3518800,7156,10,0
2023,SP,3518800,8621,3,0
2021,SP,3506003,2344,35,0
2021,SP,3509502,2124,81,0
2023,SP,3510401,7911,7,280
2023,SP,3546801,5121,10,0
2023,SP,3503208,1236,1,0
2024,SP,3547809,5153,22,520
2024,SP,3547304,2263,4,0
2024,SP,3547809,2313,2,0
2022,SP,3526902,2392,13,120
2024,SP,3505708,7664,13,240
2024,SP,3515004,2263,2,50
2024,SP,3541604,5135,14,0
2024,SP,3541406,5173,23,0
2024,SP,3506508,1412,1,0
2024,SP,3522604,7711,1,0
2023,SP,3557105,1112,1,0
2023,SP,3523404,1114,1,0
2023,SP,3534401,2525,2,0
2022,SP,3550308,2142,59,0
2022,SP,3516200,2523,8,0
2024,SP,3540002,1424,4,0
2024,SP,3504107,2611,1,0
2024,SP,3550308,2153,1,0
2024,SP,3550308,9541,19,0
2022,SP,3549805,2132,2,0
2024,SP,3511102,3221,2,5
2024,SP,3511300,4241,5,0
2023,SP,3550308,3221,81,936
2023,SP,3547809,3221,17,196
2023,SP,3529401,3225,2,20
2023,SP,3552809,7711,2,0
2023,SP,3520400,5199,15,0
2024,SP,3552403,3341,5,0
2024,SP,3505500,3221,3,0
2024,SP,3511102,2522,4,0
