ano,mes,sigla_uf,id_municipio,quantidade_atendimentos,valor_total_aprovado
2024,6,SP,3547809,2363200,11160842.839999948
2024,6,SP,3521200,5077,12587.849999999997
2024,6,SP,3551306,3248,22991.41
2024,6,SP,3554953,199,1050.0
2024,10,SP,3536703,90520,291182.64999999997
2024,10,SP,3501004,53843,146198.74000000005
2024,10,SP,3540705,59800,363007.5999999999
2024,10,SP,3503505,3646,23939.91
2024,10,SP,3539400,31863,75228.20999999998
2024,10,SP,3534104,5346,13086.730000000005
2024,10,SP,3530409,8787,947.4099999999999
2024,10,SP,3532306,1220,4570.0
2024,12,SP,3512001,35201,177571.49000000002
2024,12,SP,3556354,14048,801.0
2024,12,SP,3522307,185127,2113466.5599999996
2024,12,SP,3501152,15510,89084.71000000002
2024,12,SP,3510005,52881,269238.47
2024,12,SP,3556602,17317,37100.23000000002
2024,12,SP,3514205,243,383.29999999999995
2024,12,SP,3528205,2057,919.0699999999999
2024,9,SP,3548906,123864,2296968.7400000007
2024,9,SP,3503307,99307,1088974.28
2024,9,SP,3510203,73778,272885.1
2024,9,SP,3500303,85265,220592.99000000005
2024,9,SP,3538303,7878,0.0
2024,9,SP,3516101,16280,48743.23000000002
2024,9,SP,3542503,10466,34393.69999999999
2024,9,SP,3514601,2354,22317.330000000013
2024,9,SP,3503505,3366,20280.94
2024,9,SP,3544103,25325,118988.54
2024,8,SP,3541406,1617912,7424340.290000006
2024,8,SP,3510906,2090,875.21
2024,8,SP,3521408,55278,81785.38000000009
2024,8,SP,3508801,48436,76353.87999999996
2024,8,SP,3554300,54348,171904.16
2024,8,SP,3549250,1810,1704.4000000000003
2024,8,SP,3531803,82966,412550.3
2024,8,SP,3529005,964913,7463997.289999992
2024,8,SP,3525904,826957,8086593.710000006
2024,8,SP,3526902,348904,4113251.3799999943
2024,8,SP,3540200,33111,204835.25000000006
2024,8,SP,3510708,17212,425907.7699999999
2024,8,SP,3515350,9950,58019.74999999999
2024,8,SP,3515103,75415,329809.9099999999
2024,8,SP,3539400,32093,77356.11
2024,8,SP,3538907,9740,54757.50999999999
2024,8,SP,3532843,8087,18535.499999999996
2024,5,SP,3502754,85874,274077.0400000001
2024,5,SP,3514601,2806,22477.990000000005
2024,5,SP,3518107,7942,145.69999999999996
2024,5,SP,3500550,10797,37147.64
2024,5,SP,3503505,3210,18247.899999999998
2024,5,SP,3503109,3400,0.0
2024,11,SP,3536307,24879,35698.41
2024,11,SP,3520400,92622,469142.26000000007
2024,11,SP,3500105,67587,743020.9100000001
2024,11,SP,3540200,30300,198758.6700000001
2024,11,SP,3532702,14318,9292.18
2024,11,SP,3501806,2375,10875.870000000003
2024,11,SP,3540507,4982,2436.1400000000003
2024,4,SP,3525706,76436,208852.81999999995
2024,4,SP,3555505,9137,12935.150000000001
2024,4,SP,3518305,65355,350128.12
2024,4,SP,3548401,15383,23128.029999999995
2024,4,SP,3515806,4570,3642.4300000000007
2024,4,SP,3502606,10623,20198.42
2024,8,SP,3505104,455,0.0
2021,11,SP,3542008,22150,12105.94
2021,11,SP,3502309,10680,25054.050000000003
2021,11,SP,3506607,21646,100940.22
2021,11,SP,3534005,8868,5688.25
2021,11,SP,3540408,1275,7106.82
2021,2,SP,3554102,821684,5229916.009999992
2021,2,SP,3549102,860206,1966459.6499999983
2021,2,SP,3552205,2723054,10292887.86000008
2021,2,SP,3529401,260014,995712.839999996
2021,2,SP,3503802,52209,104349.37
2021,2,SP,3511706,14979,43745.63000000001
2021,2,SP,3524204,9386,16535.65
2021,7,SP,3500709,58147,186644.8300000001
2021,7,SP,3551108,14341,23773.410000000003
2021,7,SP,3500105,59188,557555.7999999991
2021,7,SP,3510203,20010,125712.79999999997
2021,7,SP,3515202,7623,44695.56999999999
2021,7,SP,3502101,63266,161334.78999999998
2021,7,SP,3515152,12180,71014.42
2021,7,SP,3516853,2996,15843.73
2021,7,SP,3544400,2406,0.0
2021,7,SP,3551900,4087,18177.430000000004
2021,7,SP,3532827,7771,7440.749999999999
2024,11,SP,3546009,8163,54467.49999999999
2024,1,SP,3549805,3352140,17143645.50999986
2024,1,SP,3511102,229058,2871629.8699999913
2024,1,SP,3541703,13282,47216.23000000001
2024,1,SP,3523800,15690,2892.4600000000005
2024,1,SP,3513405,88747,533177.0899999999
2024,1,SP,3512209,42898,247862.3800000001
2024,1,SP,3515202,9245,51740.00000000001
2024,1,SP,3520608,2224,9278.499999999998
2024,1,SP,3508702,837,7534.419999999998
2024,1,SP,3534005,7998,537.5299999999999
2021,7,SP,3543501,16,0.0
2021,6,SP,3513306,7545,6299.009999999997
2021,6,SP,3546702,17937,54887.649999999994
