ano,mes,sigla_uf,id_municipio,id_estabelecimento_cnes,tipo_unidade,id_natureza_juridica,quantidade_leito_cirurgico,quantidade_leito_clinico,quantidade_leito_complementar,indicador_atencao_ambulatorial
2024,1,SP,3523404,6873170,2,1244,0,0,0,1
2024,1,SP,3523404,2042282,2,1244,0,0,0,1
2024,1,SP,3556206,2097729,2,1244,0,0,0,1
2024,1,SP,3524006,2050870,2,1244,0,0,0,1
2024,1,SP,3524006,2028131,2,1244,0,0,0,1
2024,1,SP,3524006,6381057,2,1244,0,0,0,1
2024,1,SP,3545209,2049651,2,1244,0,0,0,1
2024,1,SP,3545209,7056338,2,1244,0,0,0,1
2024,1,SP,3520509,7753195,2,1244,0,0,0,1
2024,1,SP,3520509,2766248,2,1244,0,0,0,1
2024,1,SP,3514908,2090473,2,1244,0,0,0,1
2024,1,SP,3542107,2785455,2,1244,0,0,0,1
2024,1,SP,3544004,9386742,2,1244,0,0,0,1
2024,1,SP,3538709,3003507,2,1023,0,0,0,1
2024,1,SP,3538709,6251021,2,1244,0,0,0,1
2024,1,SP,3538709,4323793,2,1244,0,0,0,1
2024,1,SP,3538709,2059339,2,1244,0,0,0,1
2024,1,SP,3538709,5414652,2,1244,0,0,0,1
2024,1,SP,3538709,3056805,2,1244,0,0,0,1
2024,1,SP,3538709,3056813,2,1244,0,0,0,1
2024,1,SP,3538709,2069784,2,1244,0,0,0,1
2024,1,SP,3538709,2067579,2,1244,0,0,0,1
2024,1,SP,3515152,3568180,2,1244,0,0,0,1
2024,1,SP,3515152,7465815,2,1244,0,0,0,1
2024,1,SP,3545803,9626832,2,1244,0,0,0,1
2024,1,SP,3526902,2035111,2,1244,0,0,0,1
2024,1,SP,3543907,2071940,2,1155,0,0,0,1
2024,1,SP,3543907,2055821,2,1155,0,0,0,1
2024,1,SP,3511706,2748495,2,1244,0,0,0,1
2024,1,SP,3521101,7086326,2,1244,0,0,0,1
2024,1,SP,3548906,7015453,2,1147,0,0,0,1
2024,1,SP,3548906,9437800,2,1244,0,0,0,1
2024,1,SP,3548906,2046660,2,1244,0,0,0,1
2024,1,SP,3548906,2028522,2,1244,0,0,0,1
2024,1,SP,3548906,5544157,2,1244,0,0,0,1
2024,1,SP,3503307,2024934,2,1244,0,0,0,1
2024,1,SP,3503307,6880150,2,1244,0,0,0,1
2024,1,SP,3526704,2087979,2,1244,0,0,0,1
2024,1,SP,3526704,2048086,2,1244,0,0,0,1
2024,1,SP,3539301,2748703,2,1244,0,0,0,1
2024,1,SP,3539301,0433284,2,1244,0,0,0,1
2024,1,SP,3539301,0716065,2,1244,0,0,0,1
2024,1,SP,3547502,2747014,2,1244,0,0,0,1
2024,1,SP,3513702,5699312,2,1244,0,0,0,1
2024,1,SP,3510807,2749130,2,1244,0,0,0,1
