id_municipio,nome_municipio,qtd_atendimentos_periodo,populacao,APC
3540002,POMPEIA,623118.0,20512,30.378217628705148
3540101,PONGAI,108200.0,3443,31.426081905315133
3540200,PONTAL,1241311.0,38376,32.34602355638941
3540259,PONTALINDA,1868.0,4196,0.44518589132507147
3540309,PONTES GESTAL,50110.0,2415,20.749482401656316
3540408,POPULINA,170936.0,4185,40.84492234169654
3540507,PORANGABA,158557.0,10773,14.71799870045484
3540606,PORTO FELIZ,4814668.0,58345,82.52066158196932
3540705,PORTO FERREIRA,2125677.0,53940,39.40817575083426
3540754,POTIM,468680.0,20767,22.568498097943852
3540804,POTIRENDABA,716259.0,18994,37.70975044750974
3540853,PRACINHA,31603.0,2599,12.159676798768757
3540903,PRADOPOLIS,617897.0,17309,35.69801837194523
3541000,PRAIA GRANDE,17911612.0,365577,48.99545649753677
3541059,PRATANIA,95362.0,5246,18.17804041174228
3541109,PRESIDENTE ALVES,165352.0,3841,43.04920593595418
3541208,PRESIDENTE BERNARDES,625253.0,14772,42.32690224749526
3541307,PRESIDENTE EPITACIO,1765101.0,40383,43.70901121759156
3541406,PRESIDENTE PRUDENTE,52585296.0,234083,224.6438058295562
3541505,PRESIDENTE VENCESLAU,2405746.0,35902,67.00869032365885
3541604,PROMISSAO,1919927.0,35991,53.34464171598455
3541653,QUADRA,103291.0,3472,29.74971198156682
3541703,QUATA,627831.0,13399,46.85655645943727
3541802,QUEIROZ,255735.0,3351,76.31602506714414
3541901,QUELUZ,571362.0,9146,62.4712442597857
