id_municipio,ano,qtd_estabelecimentos,total_leitos,qtd_profissionais,populacao,EPC,PPC
3504206,2024,33,30,220,13873,2.378721257118143,15.858141714120956
3504305,2021,2,0,48,5467,0.3658313517468447,8.779952441924273
3504305,2022,2,0,56,4483,0.4461298237787196,12.49163506580415
3504305,2023,3,0,73,4483,0.6691947356680794,16.283738567923265
3504305,2024,4,0,72,4519,0.8851515822084532,15.932728479752159
3504404,2021,16,0,114,14063,1.137737324895115,8.106378439877693
3504404,2022,18,0,120,11263,1.5981532451389506,10.654354967593003
3504404,2023,20,0,118,11263,1.7757258279321673,10.476782384799787
3504404,2024,17,0,147,11438,1.4862738240951217,12.851897184822521
3504503,2021,265,147,1291,91792,2.8869618267387134,14.064406484225206
3504503,2022,270,157,1334,92805,2.9093260061419106,14.374225526641883
3504503,2023,285,157,1559,92805,3.07095522870535,16.798663865093474
3504503,2024,304,157,1679,96098,3.1634373243980103,17.471747591000852
3504602,2021,12,0,333,18013,0.6661855326708489,18.486648531616055
3504602,2022,13,0,428,27260,0.47688921496698455,15.700660308143801
3504602,2023,14,0,427,27260,0.5135730007336757,15.66397652237711
3504602,2024,16,0,410,28909,0.5534608599398112,14.182434535957661
3504701,2021,5,0,79,6127,0.8160600620205648,12.893748979924922
3504701,2022,5,0,81,3887,1.2863390789812195,20.838693079495755
3504701,2023,5,0,76,3887,1.2863390789812195,19.552354000514537
3504701,2024,5,0,71,3963,1.2616704516780217,17.91572041382791
3504800,2021,5,0,111,9209,0.542947116950809,12.05342599630796
3504800,2022,6,0,115,9596,0.6252605252188411,11.984160066694455
3504800,2023,6,0,123,9596,0.6252605252188411,12.817840766986244
3504800,2024,8,0,140,9854,0.8118530545971179,14.207428455449563
3504909,2021,11,7,148,11039,0.9964670712926896,13.407011504665277
3504909,2022,13,7,136,9969,1.3040425318487312,13.642291102417493
3504909,2023,14,7,150,9969,1.4043534958370951,15.04664459825459
3504909,2024,15,7,175,10109,1.483826293401919,17.311306756355723
3505005,2021,4,0,48,3525,1.1347517730496455,13.617021276595745
3505005,2022,4,0,50,3531,1.1328235627301046,14.16029453412631
3505005,2023,4,0,56,3531,1.1328235627301046,15.859529878221469
3505005,2024,4,0,55,3618,1.1055831951354338,15.201768933112216
3505104,2021,3,0,67,7532,0.3983005841741901,8.89537971322358
3505104,2022,3,0,76,5640,0.5319148936170213,13.47517730496454
3505104,2023,3,0,85,5640,0.5319148936170213,15.070921985815602
3505104,2024,3,0,91,5659,0.5301289980561937,16.08057960770454
3505203,2021,67,34,333,35844,1.8692110255551835,9.290257783729494
3505203,2022,78,55,387,31595,2.4687450545972465,12.248773540117107
3505203,2023,87,53,437,31595,2.753600253204621,13.831302421269188
3505203,2024,100,53,487,32405,3.0859435272334514,15.02854497762691
3505302,2021,100,72,635,36125,2.7681660899653977,17.577854671280278
3505302,2022,102,72,533,34346,2.969778140103651,15.518546555639666
3505302,2023,102,77,603,34346,2.969778140103651,17.556629592965702
3505302,2024,106,42,589,35159,3.014875280866919,16.752467362552974
3505351,2021,7,0,56,5794,1.2081463583016916,9.665170866413533
3505351,2022,7,0,69,5179,1.3516122803630044,13.32303533500676
3505351,2023,7,0,74,5179,1.3516122803630044,14.28847267812319
3505351,2024,6,0,92,5256,1.141552511415525,17.50380517503805
3505401,2021,8,0,115,7606,1.0518012095713911,15.119642387588746
3505401,2022,8,0,112,6876,1.1634671320535195,16.288539848749274
3505401,2023,8,0,101,6876,1.1634671320535195,14.688772542175684
3505401,2024,8,0,95,6922,1.1557353366079168,13.724357122219013
3505500,2021,338,478,6970,123546,2.735823094232108,56.41623362957927
3505500,2022,341,490,6802,122485,2.7840143691064214,55.533330611911666
3505500,2023,343,399,6404,122485,2.8003428991305057,52.28395313711883
3505500,2024,352,425,6675,126600,2.7804107424960502,52.725118483412324
3505609,2021,31,0,456,33537,0.9243522080090647,13.596922801681725
3505609,2022,33,0,579,32092,1.0282936557397484,18.04187959616104
3505609,2023,37,0,663,32092,1.15293531098093,20.65935435622585
3505609,2024,46,0,578,33181,1.3863355534794009,17.419607606762906
3505708,2021,402,454,7583,279704,1.4372336469982554,27.110802848725793
3505708,2022,428,417,8421,316473,1.352406050437162,26.60890502507323
3505708,2023,480,427,8772,316473,1.516717065910836,27.718004379520526
3505708,2024,501,441,9457,330339,1.5166238318817942,28.62816682256712
3505807,2021,37,26,361,20952,1.7659411989308895,17.229858724704087
