 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.aprovada por Município
Período:Jan/2022-Jan/2025
"Município";"Qtd.aprovada"
"355330 TAMBAU";1039553
"355340 TANABI";513090
"355350 TAPIRAI";533219
"355360 TAPIRATIBA";245500
"355365 TAQUARAL";236221
"355370 TAQUARITINGA";2197625
"355380 TAQUARITUBA";2190644
"355385 TAQUARIVAI";721898
"355390 TARABAI";15131
"355395 TARUMA";1789805
"355400 TATUI";9400925
"355410 TAUBATE";44153487
"355420 TEJUPA";8346
"355430 TEODORO SAMPAIO";1588809
"355440 TERRA ROXA";185232
"355450 TIETE";916548
"355460 TIMBURI";48664
"355470 TORRINHA";299753
"355475 TRABIJU";14401
"355480 TREMEMBE";1265478
"355490 TRES FRONTEIRAS";102131
"355495 TUIUTI";4949
"355500 TUPA";4029279
"355510 TUPI PAULISTA";1804780
"355520 TURIUBA";181250
"355530 TURMALINA";10090
"355535 UBARANA";394117
"355540 UBATUBA";5209767
"355550 UBIRAJARA";364730
"355560 UCHOA";324099
"355570 UNIAO PAULISTA";70282
"355580 URANIA";386948
"355590 URU";168892
"355600 URUPES";659563
"355610 VALENTIM GENTIL";1064263
"355620 VALINHOS";5386549
"355630 VALPARAISO";1373944
"355635 VARGEM";532654
"355640 VARGEM GRANDE DO SUL";1933702
"355645 VARGEM GRANDE PAULISTA";1477146
"355650 VARZEA PAULISTA";2382783
"355660 VERA CRUZ";625186
"355670 VINHEDO";4754524
"355680 VIRADOURO";850221
"355690 VISTA ALEGRE DO ALTO";13192
"355695 VITORIA BRASIL";19101
"355700 VOTORANTIM";5547478
"355710 VOTUPORANGA";48009386
"355715 ZACARIAS";442985
"355720 CHAVANTES";743605
"355730 ESTIVA GERBI";749055
"Total";4225336645
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
